"experiment","n","k","rep","penalty_svp","penalty_pelt","method","time","detected"
"vary_k",2000,29,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00799999999999912,30
"vary_k",2000,30,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999997669,31
"vary_k",2000,30,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00800000000000267,31
"vary_k",2000,31,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,32
"vary_k",2000,31,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00900000000000034,32
"vary_k",2000,32,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999997669,33
"vary_k",2000,32,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00900000000000034,33
"vary_k",2000,33,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,34
"vary_k",2000,33,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00799999999999912,34
"vary_k",2000,34,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999997669,35
"vary_k",2000,34,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00700000000000145,35
"vary_k",2000,35,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,36
"vary_k",2000,35,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00700000000000145,36
"vary_k",2000,36,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,37
"vary_k",2000,36,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0069999999999979,37
"vary_k",2000,37,3,30.4036098381683,15.2018049190842,"PELT",0.00199999999999889,38
"vary_k",2000,37,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00700000000000145,38
"vary_k",2000,38,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,40
"vary_k",2000,38,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00700000000000145,39
"vary_k",2000,39,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999997669,40
"vary_k",2000,39,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00800000000000267,40
"vary_k",2000,40,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,41
"vary_k",2000,40,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0069999999999979,41
"vary_k",2000,0,4,30.4036098381683,15.2018049190842,"PELT",0.00300000000000011,1
"vary_k",2000,0,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.146999999999998,1
"vary_k",2000,1,4,30.4036098381683,15.2018049190842,"PELT",0.00199999999999889,2
